dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl
150.65,1076.76,473.69,125.59,488.9,92305,1973442.3,7.1605759,9.2758,3.89531,86.29,0.20612045,156.9,1.3541225,0.058598171,36817.1
215.62,1186.8,480.4,185.73,757,123336,2130617.5,7.0472572,10.0569,4.03198,86.39,0.21078229,159.53,1.2571124,0.060584941,40830
235.36,1159.86,482.4,265.49,686.7,138111,2335010.1,7.2076942,10.6732,4.13578,86.5,0.2121188,189.46,1.1133419,0.060133349,44488.6
276.38,1580.53,491.9,485.7,923.36,156312,2440874.5,8.1310334,11.3692,4.57462,86.71,0.24930707,181.73,0.8029362,0.059556627,48458
286.37,1784.04,475.76,645.74,593.08,189129,2548433.3,7.8751403,12.3391,4.76782,86.76,0.24959046,178.06,0.6935515,0.059217312,52530.4
329.94,1818.04,541.94,537.46,870.58,185928,2690851.2,7.6260024,13.6172,4.89399,86.93,0.24360323,172.85,0.73208876,0.059536463,57229.8
368.54,2059.86,638.8,443.47,1755.46,211212,2740102.7,7.5058064,15.0962,5.02215,87.09,0.24641837,186.11,0.82450241,0.061481068,62361.2
399,2060.1,688.11,504.99,2682,226113,2851858.7,7.0095852,16.1776,5.23404,87.35,0.20944082,186.66,0.81052865,0.06407274,67755.9
417.88,2084.09,747.31,373.21,3247.63,254165,2974156.5,7.544897,16.4158,5.24401,87.55,0.1971099,178.43,0.64285985,0.067860467,69433.5
122.96,461.67,204.78,11.72,159.3,41009,2558684.6,3.0006949,6.651725,1.15169,81.55,0.16621917,97.8,0.80718936,0.070396081,24029.6
175.26,353.9,188.4,11.51,213.1,60915,3000377.2,3.0587432,7.134462,1.22156,82.29,0.17651352,89.88,0.8002064,0.070068794,26359.2
200.16,397.65,208.81,15.35,207.5,63422,3228056.5,3.0521659,7.496034,1.271,82.55,0.18342423,89.12,0.772922,0.070679286,28832.3
